id;Группа тем;Тема
912;Здравоохранение/Медицина;★ Информационно-техническая поддержка
913;Социальное обслуживание и защита;Оказание гос. соц. помощи
914;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
915;Социальное обслуживание и защита;Дети и многодетные семьи
916;Дороги;Проблемы в работе горячих линий
917;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
918;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
919;Общественный транспорт;График движения общественного транспорта
920;Благоустройство;Освещение неисправно или отсутствует
921;Благоустройство;Вырубка деревьев, кустарников
922;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
923;ЖКХ;Отсутствие горячей воды
924;ЖКХ;Сборы за капитальный ремонт
925;Образование;Образовательный процесс
926;ЖКХ;Жалобы на управляющие компании
927;Социальное обслуживание и защита;Оказание гос. соц. помощи
928;Мусор/Свалки/ТКО;Плата за вывоз ТКО
929;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
930;Дороги;Содержание, ремонт и обустройство тротуаров
931;Коронавирус;Жалобы на врачей
932;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
933;ЖКХ;★ Уборка/Вывоз мусора
934;ЖКХ;Отсутствие горячей воды
935;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
936;Дороги;Ремонт дороги
937;Социальное обслуживание и защита;Дети и многодетные семьи
938;Общественный транспорт;Содержание остановок
939;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
940;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
941;Социальное обслуживание и защита;Оказание гос. соц. помощи
942;ЖКХ;Отсутствие электричества
943;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
944;Коронавирус;Коронавирусные ограничения
945;Благоустройство;★ Неисправные фонари освещения
946;Социальное обслуживание и защита;Оказание гос. соц. помощи
947;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
948;Общественный транспорт;Проблемы с социальными картами или проездными документами
949;Мусор/Свалки/ТКО;Плата за вывоз ТКО
950;Общественный транспорт;График движения общественного транспорта
951;Здравоохранение/Медицина;Льготные лекарства
952;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
953;Дороги;Ремонт дороги
954;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
955;Социальное обслуживание и защита;Оказание гос. соц. помощи
956;Социальное обслуживание и защита;Оказание гос. соц. помощи
957;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
958;Социальное обслуживание и защита;Дети и многодетные семьи
959;ЖКХ;Жалобы на управляющие компании
960;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
961;Дороги;Освещение неисправно или отсутствует
962;Социальное обслуживание и защита;Дети и многодетные семьи
963;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
964;Электроснабжение;Качество электроснабжения
965;Дороги;Ремонт дороги
966;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
967;Газ и топливо;Сроки газификации
968;Дороги;Ремонт дороги
969;Социальное обслуживание и защита;Дети и многодетные семьи
970;Социальное обслуживание и защита;Оказание гос. соц. помощи
971;Социальное обслуживание и защита;Дети и многодетные семьи
972;Социальное обслуживание и защита;Дети и многодетные семьи
973;Здравоохранение/Медицина;Очередь
974;Благоустройство;Уборка территорий
975;Мусор/Свалки/ТКО;Плата за вывоз ТКО
976;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
977;Дороги;Освещение неисправно или отсутствует
978;Социальное обслуживание и защита;Оказание гос. соц. помощи
979;Коронавирус;Порядок и пункты вакцинации
980;ЖКХ;Ремонт подъездов
981;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
982;Здравоохранение/Медицина;Содержание больниц
983;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
984;Мусор/Свалки/ТКО;Плата за вывоз ТКО
985;Социальное обслуживание и защита;Дети и многодетные семьи
986;Социальное обслуживание и защита;Дети и многодетные семьи
987;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
988;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
989;Мусор/Свалки/ТКО;Плата за вывоз ТКО
990;ЖКХ;Жалобы на управляющие компании
991;Социальное обслуживание и защита;Оказание гос. соц. помощи
992;Социальное обслуживание и защита;Дети и многодетные семьи
993;Социальное обслуживание и защита;Дети и многодетные семьи
994;Дороги;Ремонт дороги
995;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
996;ЖКХ;Жалобы на управляющие компании
997;Связь и телевидение;★ Информационно-техническая поддержка
998;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
999;Дороги;Освещение неисправно или отсутствует
1000;Социальное обслуживание и защита;Дети и многодетные семьи
1001;ЖКХ;Ненадлежащее качество или отсутствие отопления
1002;Общественный транспорт;Содержание остановок
1003;Безопасность;Отлов безнадзорных собак и кошек
1004;ЖКХ;Плохое качество воды
1005;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1006;ЖКХ;Отсутствие холодной воды
1007;Образование;Питание
1008;Социальное обслуживание и защита;Оказание гос. соц. помощи
1009;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1010;Здравоохранение/Медицина;Коронавирусные ограничения
1011;Общественный транспорт;Изменить или отменить маршрут
1012;Коронавирус;Порядок и пункты вакцинации
1013;Социальное обслуживание и защита;Дети и многодетные семьи
1014;Благоустройство;★ Открытые канализационные люки
1015;Образование;Образовательный процесс
1016;Социальное обслуживание и защита;Оказание гос. соц. помощи
1017;Здравоохранение/Медицина;Льготные лекарства
1018;Социальное обслуживание и защита;Оказание гос. соц. помощи
1019;Безопасность;Отлов безнадзорных собак и кошек
1020;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1021;Дороги;Ремонт дороги
1022;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1023;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1024;Социальное обслуживание и защита;Дети и многодетные семьи
1025;Социальное обслуживание и защита;Дети и многодетные семьи
1026;Дороги;Ремонт дороги
1027;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1028;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
1029;Дороги;Ремонт дороги
1030;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1031;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1032;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1033;Мобилизация;Поддержка семей мобилизованных
1034;Здравоохранение/Медицина;Льготные лекарства
1035;ЖКХ;Жалобы на управляющие компании
1036;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1037;Мусор/Свалки/ТКО;Проблемы с контейнерами
1038;Социальное обслуживание и защита;Оказание гос. соц. помощи
1039;ЖКХ;Ненадлежащее качество или отсутствие отопления
1040;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1041;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1042;Общественный транспорт;График движения общественного транспорта
1043;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1044;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1045;Социальное обслуживание и защита;Дети и многодетные семьи
1046;Социальное обслуживание и защита;Оказание гос. соц. помощи
1047;Социальное обслуживание и защита;Дети и многодетные семьи
1048;Коронавирус;Доступность вакцин
1049;Благоустройство;Уборка территорий
1050;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1051;ЖКХ;Плата за ЖКУ и работа ЕИРЦ
1052;Дороги;Содержание, ремонт и обустройство тротуаров
1053;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1054;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1055;ЖКХ;Ненадлежащее качество или отсутствие отопления
1056;Здравоохранение/Медицина;★ Питание в медицинских учреждениях
1057;Здравоохранение/Медицина;Очередь
1058;Дороги;Ремонт дороги
1059;Социальное обслуживание и защита;Дети и многодетные семьи
1060;ЖКХ;Жалобы на управляющие компании
1061;ЖКХ;Жалобы на управляющие компании
1062;Социальное обслуживание и защита;Дети и многодетные семьи
1063;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1064;Социальное обслуживание и защита;Пенсионеры и ветераны
1065;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
1066;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1067;Благоустройство;Уборка территорий
1068;Социальное обслуживание и защита;Дети и многодетные семьи
1069;Социальное обслуживание и защита;Оказание гос. соц. помощи
1070;Здравоохранение/Медицина;Содержание больниц
1071;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1072;Коронавирус;Тесты на коронавирус
1073;Социальное обслуживание и защита;Дети и многодетные семьи
1074;ЖКХ;Ненадлежащее содержание и эксплуатация МКД
1075;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1076;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1077;ЖКХ;★ Наледь и сосульки на кровле
1078;Общественный транспорт;Содержание остановок
1079;Здравоохранение/Медицина;Содержание больниц
1080;Здравоохранение/Медицина;Очередь
1081;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1082;Социальное обслуживание и защита;Дети и многодетные семьи
1083;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1084;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1085;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1086;Социальное обслуживание и защита;Оказание гос. соц. помощи
1087;ЖКХ;Жалобы на управляющие компании
1088;Социальное обслуживание и защита;Дети и многодетные семьи
1089;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1090;ЖКХ;Плохое качество воды
1091;Социальное обслуживание и защита;Дети и многодетные семьи
1092;ЖКХ;Ненадлежащее содержание и эксплуатация МКД
1093;ЖКХ;★ Затопление подъездов, подвальных помещений
1094;Социальное обслуживание и защита;Оказание гос. соц. помощи
1095;Социальное обслуживание и защита;Дети и многодетные семьи
1096;Дороги;Ремонт дороги
1097;Связь и телевидение;Качество электроснабжения
1098;ЖКХ;Завышение платы за коммунальные услуги
1099;Социальное обслуживание и защита;Дети и многодетные семьи
1100;Коронавирус;Тесты на коронавирус
1101;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
1102;Социальное обслуживание и защита;Дети и многодетные семьи
1103;Образование;Образовательный процесс
1104;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1105;Благоустройство;Уборка территорий
1106;Дороги;Ремонт дороги
1107;Здравоохранение/Медицина;Льготные лекарства
1108;ЖКХ;Плохое качество воды
1109;Здравоохранение/Медицина;★ Питание в медицинских учреждениях
1110;Мусор/Свалки/ТКО;★ Нестационарная торговля (киоски, павильоны, сезонная торговля)
1111;Социальное обслуживание и защита;Оказание гос. соц. помощи
1112;ЖКХ;Сборы за капитальный ремонт
1113;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1114;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1115;Дороги;Ремонт дороги
1116;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1117;Здравоохранение/Медицина;Очередь
1118;Благоустройство;Уборка территорий
1119;Социальное обслуживание и защита;Дети и многодетные семьи
1120;ЖКХ;Плата за вывоз ТКО
1121;Благоустройство;Вырубка деревьев, кустарников
1122;Мусор/Свалки/ТКО;Раздельная сортировка отходов
1123;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1124;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1125;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1126;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1127;Физическая культура и спорт;Строительство спортивной инфраструктуры
1128;Здравоохранение/Медицина;Содержание больниц
1129;ЖКХ;Ненадлежащее качество или отсутствие отопления
1130;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1131;Социальное обслуживание и защита;Дети и многодетные семьи
1132;ЖКХ;Ненадлежащее качество или отсутствие отопления
1133;Дороги;Организация переходов, светофоров/Изменить организацию движения
1134;Благоустройство;Уборка территорий
1135;Дороги;Ремонт дороги
1136;ЖКХ;★ Наледь и сосульки на кровле
1137;ЖКХ;Отсутствие горячей воды
1138;Дороги;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
1139;Социальное обслуживание и защита;Дети и многодетные семьи
1140;Мусор/Свалки/ТКО;Раздельная сортировка отходов
1141;Социальное обслуживание и защита;Дети и многодетные семьи
1142;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1143;ЖКХ;Завышение платы за коммунальные услуги
1144;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1145;ЖКХ;Отсутствие холодной воды
1146;Общественный транспорт;Льготы на проезд и тарифы
1147;Социальное обслуживание и защита;Дети и многодетные семьи
1148;Социальное обслуживание и защита;Дети и многодетные семьи
1149;Социальное обслуживание и защита;Дети и многодетные семьи
1150;Дороги;Ремонт дороги
1151;ЖКХ;Жалобы на управляющие компании
1152;Общественный транспорт;Содержание остановок
1153;Здравоохранение/Медицина;Очередь
1154;Благоустройство;★ Ненадлежащее состояние игровых элементов на детской или спортивной площадке
1155;ЖКХ;Ненадлежащее качество или отсутствие отопления
1156;Социальное обслуживание и защита;Оказание гос. соц. помощи
1157;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1158;Мобилизация;Стоимость, оплата и возврат средств на газификацию
1159;Здравоохранение/Медицина;★ Информационно-техническая поддержка
1160;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1161;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1162;Коронавирус;Доступность вакцин
1163;Социальное обслуживание и защита;Дети и многодетные семьи
1164;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1165;Безопасность;Учреждения культуры
1166;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1167;Социальное обслуживание и защита;Дети и многодетные семьи
1168;Здравоохранение/Медицина;Профильный осмотр
1169;Здравоохранение/Медицина;Очередь
1170;ЖКХ;Отсутствие холодной воды
1171;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1172;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1173;Мусор/Свалки/ТКО;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
1174;Здравоохранение/Медицина;Льготные лекарства
1175;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1176;Социальное обслуживание и защита;Оказание гос. соц. помощи
1177;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1178;Безопасность;Отлов безнадзорных собак и кошек
1179;Мусор/Свалки/ТКО;★ Отсутствие контейнерной площадки/Проезд к контейнерной площадке
1180;Социальное обслуживание и защита;Дети и многодетные семьи
1181;ЖКХ;Жалобы на управляющие компании
1182;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
1183;Социальное обслуживание и защита;Аварийное жилье/переселение
1184;Общественный транспорт;Некорректное поведение водительского состава
1185;ЖКХ;Завышение платы за коммунальные услуги
1186;Социальное обслуживание и защита;Оказание гос. соц. помощи
1187;ЖКХ;Ненадлежащее качество или отсутствие отопления
1188;Социальное обслуживание и защита;★ Информационно-техническая поддержка
1189;ЖКХ;Отсутствие холодной воды
1190;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1191;Социальное обслуживание и защита;Оказание гос. соц. помощи
1192;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1193;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1194;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
1195;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1196;ЖКХ;Жалобы на управляющие компании
1197;Благоустройство;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1198;Благоустройство;Уборка территорий
1199;Благоустройство;Разрушение тротуаров и пешеходных дорожек
1200;Социальное обслуживание и защита;Аварийное жилье/переселение
1201;Социальное обслуживание и защита;Дети и многодетные семьи
1202;Социальное обслуживание и защита;Дети и многодетные семьи
1203;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1204;Дороги;Ремонт дороги
1205;Дороги;Освещение неисправно или отсутствует
1206;Социальное обслуживание и защита;Дети и многодетные семьи
1207;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1208;Социальное обслуживание и защита;Аварийное жилье/переселение
1209;Дороги;Ремонт дороги
1210;Социальное обслуживание и защита;Дети и многодетные семьи
1211;Социальное обслуживание и защита;Дети и многодетные семьи
1212;Общественный транспорт;График движения общественного транспорта
1213;Коронавирус;Сертификаты и QR-коды
1214;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1215;Социальное обслуживание и защита;Аварийное жилье/переселение
1216;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1217;Здравоохранение/Медицина;Хамство медицинских работников
1218;ЖКХ;Жалобы на управляющие компании
1219;Дороги;Ремонт дороги
1220;Дороги;Ремонт дороги
1221;Коронавирус;Сертификаты и QR-коды
1222;Здравоохранение/Медицина;Ошибки врачей, халатность
1223;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1224;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1225;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1226;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
1227;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1228;Социальное обслуживание и защита;Проблемы с социальными картами или проездными документами
1229;Социальное обслуживание и защита;Дети и многодетные семьи
1230;ЖКХ;Завышение платы за коммунальные услуги
1231;Коронавирус;Тесты на коронавирус
1232;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1233;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
1234;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1235;Дороги;Ремонт дороги
1236;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1237;Здравоохранение/Медицина;Очередь
1238;ЖКХ;Отсутствие холодной воды
1239;ЖКХ;Ненадлежащее качество или отсутствие отопления
1240;Социальное обслуживание и защита;Дети и многодетные семьи
1241;Социальное обслуживание и защита;Запрос на газификацию и её условия
1242;Социальное обслуживание и защита;Оказание гос. соц. помощи
1243;ЖКХ;Жалобы на управляющие компании
1244;Благоустройство;★ Открытые канализационные люки
1245;Социальное обслуживание и защита;Оказание гос. соц. помощи
1246;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1247;ЖКХ;Ненадлежащее качество или отсутствие отопления
1248;Здравоохранение/Медицина;Содержание больниц
1249;Социальное обслуживание и защита;Оказание гос. соц. помощи
1250;Здравоохранение/Медицина;Ошибки врачей, халатность
1251;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
1252;Благоустройство;Уборка территорий
1253;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1254;Благоустройство;★ Неисправные фонари освещения
1255;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1256;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1257;Дороги;Ремонт дороги
1258;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1259;Благоустройство;★ Неисправные фонари освещения
1260;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1261;Социальное обслуживание и защита;Оказание гос. соц. помощи
1262;Социальное обслуживание и защита;Дети и многодетные семьи
1263;Социальное обслуживание и защита;Аварийное жилье/переселение
1264;Благоустройство;Вырубка деревьев, кустарников
1265;Социальное обслуживание и защита;Дети и многодетные семьи
1266;Мобилизация;Поддержка семей мобилизованных
1267;Благоустройство;★ Неисправные фонари освещения
1268;Благоустройство;★ Открытые канализационные люки
1269;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1270;Мусор/Свалки/ТКО;★ Уборка/Вывоз мусора
1271;ЖКХ;Ненадлежащее качество или отсутствие отопления
1272;Коронавирус;Коронавирусные ограничения
1273;Здравоохранение/Медицина;★ Оказание медицинской помощи не в полном объеме/отказ в оказании медицинской помощи
1274;Социальное обслуживание и защита;Дети и многодетные семьи
1275;ЖКХ;Ненадлежащее качество или отсутствие отопления
1276;Благоустройство;Ненадлежащее состояние фасадов нежилых зданий, объектов и ограждений
1277;Коронавирус;Доступность вакцин
1278;Дороги;Освещение неисправно или отсутствует
1279;Коронавирус;Тесты на коронавирус
1280;Здравоохранение/Медицина;Нехватка или сокращение врачей и медицинских учреждений
1281;Социальное обслуживание и защита;Аварийное жилье/переселение
1282;Мусор/Свалки/ТКО;Плата за вывоз ТКО
1283;Социальное обслуживание и защита;Дети и многодетные семьи
1284;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1285;Социальное обслуживание и защита;Оказание гос. соц. помощи
1286;Социальное обслуживание и защита;Оказание гос. соц. помощи
1287;Социальное обслуживание и защита;Оказание гос. соц. помощи
1288;Благоустройство;★ Нарушение правил уборки от снега и наледи внутридворового проезда, тротуара, площади
1289;Дороги;★ Нарушение правил очистки дорог от снега и наледи/Обращения о необходимости очистить тротуар от снега и наледи
1290;Социальное обслуживание и защита;Запрос на газификацию и её условия
1291;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1292;Социальное обслуживание и защита;Дети и многодетные семьи
1293;Здравоохранение/Медицина;Технические проблемы с записью на прием к врачу
1294;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
1295;Благоустройство;Благоустройство общественного пространства (парк, сквер, пешеходная зона, бульвар, набережная, центральная улица или площадь)
